,fleet,problem_log,corrective_action,delay_code,station_delay_minutes,d&c_category,ata4_code,ata4_desc
1432,A319-131,CREW REPORTED RUBBER SMELL IN CABIN F ROM ROWS 1 TO ROWS 21. NEWMAN TOMC. SAMC TEXT: WO#15092916. CREW ALSO REPORTED THAT SMELL HAD QUICK LY DISAPATED. NEWMAN TOMC.," :NO DEFECTS NOTED IN GALLEY EQUIP, CABIN EQUIP, AEVC EQUIP AND AIR COND EQUIP PER TSM 05-51-00. FO LLOWED TSM 21-00-00-810-801 PERFORMED ENG AND APU RUNS AND NO BU RNT RUBBER SMELL PRESENT. NEWMAN TOMC. - OPBLM NEWMAN JAY",TA,80,Delay>15mins,2520,PASSENGER COMPARTMENT
1927,A319-131,LOUD CHATTER AND VIBRATION HEARD AND FELT IN AC., :RESET VALVE IN WATER LINE BEHIND COFFEE MAKER AFT GALLEY. NOISE STOPPED.,TA,29,Delay>15mins,2530,GALLEYS
2217,A319-131,29DEC MFE DF -Q :AFT AFT LAV TRASH DOOR FLAPPER SPRING IS BROKEN. NEWMAN TOMC. SAMC TEXT: WO# 15122914., :DEFERRED PER MEL. TAPED OVER FLAP PER DOOR AND INSTALLED DF-CF PLACARD ON FLAPPER AND LOCKED OUT L AV DOOR. NEWMAN TOMC.,TA,19,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
2339,A319-131,TOP DOOR STIKER FAULT. PROG TEXT: - ITEM ROLLED FORWARD.," :CYCLED PAX DOOR MON CB.TR OUBLE CLEARED,CURRENT OP CK OK.",TA,75,Delay>15mins,2520,PASSENGER COMPARTMENT
2515,A319-131,"22JUN IAH ACP- :HUMMING HIGH PITCH NOISE ACCOMP INSPECTION OR RECHECK REQUIRED BY CF0041. WHEN COMPLETE, SIGN OFF THIS DL ITEM ONLY - DO NOT SIGN OFF CF0041. HUMMING HIGH PITCH NOISEWITH LOW VOLUME COMES AND GOES. SEAT 21F :ACCOMPLISHED MT 53-005 AN D 53-004 TAPED PANEL 192DT", :REINSPECT TAPE FOUND TOBE SECURE. OK TO CONTINUE.,TM,15,Delay 6-15mins,2520,PASSENGER COMPARTMENT
2575,A319-131,LOUD SQUEAL COMING FROM FROM OVERHEAD COCKPIT IN DECENT.. STOPPED PASSING 22000FT, :PRESSURIZED PER MM05-53-0 0-780-003-A01. NO LEAKS FOUND. ORDMM DAVIS,TA,9,Delay 6-15mins,2510,FLIGHT COMPARTMENT EQUIPMENT
2576,A319-131,LOUD SQUEAL COMING FROM FROM OVERHEAD COCKPIT IN DECENT.. STOPPED PASSING 22000FT, :PRESSURIZED PER MM05-53-0 0-780-003-A01. NO LEAKS FOUND. ORDMM DAVIS,TA,0,Cancellation,2510,FLIGHT COMPARTMENT EQUIPMENT
2828,A319-131,AFT GALLEY CABINET DOOR UNDER COFFEE MAKERWILL NOT RETRACT INTOHOUSING., :OPS CK GOOD.,TA,29,Delay>15mins,2530,GALLEYS
3252,A320-232,RETURNED TO GATE FORSTRANGE NOISE FROM AFTCABIN PROG TEXT: - ITEM ROLLED FORWARD., :INSTALLATION INSPECTED- FUNCTIONALLY CHECKED AND FOUND SATISFACTORY. REQUEST FURTHER OBSERVATION AND INFO. NEXT FLIGHT. REF. GMM 06-35-10 PG 31.,TA,63,Delay>15mins,2520,PASSENGER COMPARTMENT
3253,A320-232,REMOVE AND REINSTALL JACKSCREW RAIL AND SI DE RAILS REMOVED FOR DRAINMAST INSTALLATION. BY- 087562, :ACCOMPLISHED REINSTALLATI ON OF JACKSCREW RAIL AND SIDE RAILS REF AMM 25-51-99-000-001-A.,TA,19,Delay>15mins,2520,PASSENGER COMPARTMENT
3379,A320-232,01DEC PIT DF -Q : CREW REPORT: EMERGENCY ESCAPE ROPECOVER LATCH BROKENLEFT OVERWING EXIT SAMC TEXT: WO#1510107.," :DEFER LEFT SLIDE ROPES (2), DUE TO INOP DOOR THAT IS DEFERRED ON DF 491. BERG TOMC.",TL,8,Delay 6-15mins,2560,EMERGENCY EQUIPMENT   
3441,A320-232,12DEC IAH DF -T :L AFT CABIN DISPLAYED ON UPPER ECAM SCREEN. - DOOR CREW COMMENTS: ECAM DOOR L AFT CABIN ON DECENT., :PLACED ON DF REF 5270AU ¬12DEC IAH INF- :OPS CHECKED SLIDE ARMED L IGHT AND OPERATES NORMAL,TF,23,Delay>15mins,2520,PASSENGER COMPARTMENT
3557,A320-232,18JUN SJC DF -Q : CREW REPORT: AFT GALLEY CB R42 POPPED SAMC TEXT: WO 15061823, :FBO MECHANIC COLLARED CIRCUIT BREA KER OPEN.,TA,6,Delay 6-15mins,2530,GALLEYS
3558,A320-232,AFT FA LIGHTING AND EVAC PANEL INOP, :RESET SYS OP CK OK,TL,19,Delay>15mins,2560,EMERGENCY EQUIPMENT   
3824,A320-232,CREW REPORT: AFT GALLEY TRASH BINLID BENT MAKING TRASHBIN UNUSABLE ()CABIN ITEM ATA 2530, :FOUND TRASH CAN LID STRAIGHTENED BY FLIGHT CREW. NO FURTHER ACTION REQUIRED. - OPBLM MARTIN ARMENTA,TA,27,Delay>15mins,2530,GALLEYS
4670,A320-232,20NOV MCO DF -T :DOOR 1 RIGHT FORWARD GALLEY WASTE CONTAINER (BIN) MISSING., :DEFERRED PER MEL 2522GJ,TN,56,Delay>15mins,2530,GALLEYS
4779,A320-232,CREW REPORT: ELECTRICAL ODOR IN AFT GALLEY AFTER ENGINE SHUTDOWN. SOMEWHAT DISIPATEDAFTR A FEW MINUTES SAMC TEXT: WO#15080216," :INSPECTED AFT GALLEY AREA,OVENS C OFFEEMAKERS,HOT PLATES AND LIGHT FIXTURES, NO FURTHER ELECTRICAL ODOR NOTED AND NO DEFECTS NOTED IN AAFT GALLEY COMPONENTS. OPBL M CHRISTIANSEN W.O. 15080216 - OPBLM CHRISTENSEN ROGER",TA,12,Delay 6-15mins,2530,GALLEYS
4782,A320-232,17AUG ORD CF -T :RAMP REPORTS SHARP METAL AFT CARGO DOORWAY AREA. BY- 63371, :MADE ITERIM REPAIR PER ECRA.SKID PLATE IN AFT PIT TO BE REPLACED BY NEXT 'A' CK PER ECRA 5322-01050. ¬17AUG OPB INF- :.PLEASE UPDATE WITH PARTS NEEDED IF UNABLE TO CLR.REF ECRA-5322-01050.TOMC-SC,TA,61,Delay>15mins,2550,ADDITIONAL COMPARTMENTS
5072,A320-232,"22AUG ORD ACP- :AIRBUS CABIN CHECK ACCOMPLISH AIRBUS CABIN CHECK PER JOB CARD 4-CABIN. TO ACCESS THE JOB CARD, GO TO THE TECH OP PORTAL > (SUA) OSV BRIEFCASE > AIRBUS (ON2200) IN SERVICE CABIN CHECK > 4-CABIN.", :ACOMPLISHED CK OK.,TE,1,Delay 0-5mins,2520,PASSENGER COMPARTMENT
5284,A320-232,27JUN DEN DF -T :FO TRAY TABLE INOP," :COMPLIED WITH MEL, TRAY T ABLE MUST BE STOWED.",TL,12,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
5433,A320-232,AFT F-A EVAC SWITCHGUARD IS MISSING," :RPLCD AFT FA EVAC PANEL, CHECKS GOOD",TA,38,Delay>15mins,2560,EMERGENCY EQUIPMENT   
5986,A320-232,FWD EMERGENCY EQUIPMENTOVRHD BIN 1EF LATCHBROKEN," :REPLACED BROKEN LATCH AND COVER FOR OVERHEAD BIN DOOR AT SEAT 1EF, OPS CK GOOD.",TA,44,Delay>15mins,2560,EMERGENCY EQUIPMENT   
6057,A320-232,18AUG IAH DF -T :AFT GALLEY SINK CLOGGED, :PLACED AFT GALLEY DRAIN O N DF PER MEL 3810M. COVERED DRAIN AND INSTALLED STICKER.,TF,17,Delay>15mins,2520,PASSENGER COMPARTMENT
6160,A320-232,23JUN EWR ACP- :GALLEY FILTER EMEMNT RPL REPLACE THE GALLEY FILTER ELEMENT PER AMM 25-30-00-920-001-A AND 25-35-98-160-001-A. PARTS; PN 1F16797-16 PCN 023-0115 FWD GALLEY FILTER PN 1F16797-17 PCN 023-1484 FWD GALLEY FILTER PN 1F16797-18 PCN 023-1485 AFT GALLEY FILTER, :REPLACED FILTERS PER AMM2 5-30-00,TA,79,Delay>15mins,2530,GALLEYS
6257,A320-232,CREW REPORT: FWD AFT LAV DOOR WILLNOT CLOSE DUE TO HENGEDAMAGE SAMC TEXT: W0# 15121306. TOMC BILSKI.," :ADJUSTED LATCH ON LAV, OPS CK GOO D OPBLM ANNICHIARICO - OPBLM STONE DAN",TA,17,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
6265,A320-232,EVAC HORN GOING OFF, :RESET CIDS 1 AND 2 OPS CK NORMAL,TM,67,Delay>15mins,2560,EMERGENCY EQUIPMENT   
6266,A320-232,EVAC HORN GOING OFF, :RESET CIDS 1 AND 2 OPS CK NORMAL,TL,22,Delay>15mins,2560,EMERGENCY EQUIPMENT   
6506,A320-232,26DEC CLE DF -T :22E WILL NOT STAYUPRIGHT PROG TEXT: - ITEM ROLLED FORWARD.," :PLACARDED SEAT 22E, BLOCK ED SEATS 23E AND 23F PER DDP¬27DEC OPB CQT- :SEAT 22E SECURED UPRIGHT. SEATS 23E AND 23F ARE NOW USABLE. CHANGING MEL TO 2521Z FOR REC LINE FUNCTION AT SEAT 22E INOP. - TOMC KROWN 26DEC15 ¬27DEC ORD INF- :LOCKED SEAT BACK IN THE UPRIGHT POSITION. SEAT RECLINE IS NOT FUNCTIOINAL. SEAT IS USABL E. SEAT 21E AND 23E ARE USABLE.",TA,67,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
6512,A320-232,TRIM PIECE MISSING BELOWSECOND JUMPSEAT," :ITEM NOT REQUIRED, REF AM M 25-66-00 AND AMM 25-66-52-920-001-A.",TA,35,Delay>15mins,2560,EMERGENCY EQUIPMENT   
