,problem_log,cos_similarity,corrective_action
0,crew reported rubber smell in cabin f rom rows 1 to rows 21 newman tomc samc text wo 15092916 crew also reported that smell had quick ly disapated newman tomc ,0.2972227214629568, no defects noted in galley equip cabin equip aevc equipment and air conditioning equipment per tsm 05 51 00 fo llowed tsm 21 00 00 810 801 performed engine and apu runs and no bu rnt rubber smell present newman tomc opblm newman jay
1,loud chatter and vibration heard and felt in ac ,0.2664693550105969, reset valve in water line behind coffee maker aft galley noise stopped 
2,29dec mfe df q aft aft lavatory trash door flapper spring is broken newman tomc samc text wo 15122914 ,0.3505847957294438, deferred per mel taped over flap per door and installed df cf placard on flapper and locked out l av door newman tomc 
3,top door stiker fault prog text item rolled forward ,0.22739701341354918, cycled pax door mon cb tr ouble cleared current op check ok 
4,22jun iah acp humming high pitch noise accomp inspection or recheck required by cf0041 when complete sign off this dl item only do not sign off cf0041 humming high pitch noisewith low volume comes and goes seat 21f accomplished mt 53 005 an d 53 004 taped panel 192dt,0.44437589290554297, reinspect tape found tobe secure okay to continue 
5,loud squeal coming from from overhead cockpit in decent stopped passing 22000ft,0.3545694834255506, pressurized per mm05 53 0 0 780 003 a01 no leaks found ordmm davis
6,loud squeal coming from from overhead cockpit in decent stopped passing 22000ft,0.3545694834255506, pressurized per mm05 53 0 0 780 003 a01 no leaks found ordmm davis
7,loud squeal coming from from overhead cockpit in decent stopped passing 22000ft,0.3545694834255506, pressurized per mm05 53 0 0 780 003 a01 no leaks found ordmm davis
8,loud squeal coming from from overhead cockpit in decent stopped passing 22000ft,0.3545694834255506, pressurized per mm05 53 0 0 780 003 a01 no leaks found ordmm davis
9,aft galley cabinet door under coffee makerwill not retract intohousing ,0.5986170410734141, ops check good 
10,returned to gate forstrange noise from aftcabin prog text item rolled forward ,0.1836396549058992, installation inspected functionally checked and found satisfactory request further observation and info next flight ref gmm 06 35 10 pg 31 
11,remove and reinstall jackscrew rail and si de rails removed for drainmast installation by 087562,0.2886751345948133, accomplished reinstallati on of jackscrew rail and side rails ref amm 25 51 99 000 001 a 
12,01dec pit df q crew report emergency escape ropecover latch brokenleft overwing exit samc text wo 1510107 ,0.34544086116173073, defer left slide ropes 2 due to inoperable door that is deferred on df 491 berg tomc 
13,12dec iah df t l aft cabin displayed on upper ecam screen door crew comments ecam door l aft cabin on decent ,0.30524143156594064, placed on df ref 5270au 12dec iah inf ops checked slide armed l ight and operates normal
14,18jun sjc df q crew report aft galley cb r42 popped samc text wo 15061823,0.1961161351381843, fbo mechanic collared circuit brea ker open 
15,aft fa lighting and evac panel inop,0.21398024625545678, reset system op check ok
16,crew report aft galley trash binlid bent making trashbin unusable cabin item ata 2530,0.3112658781274412, found trash can lid straightened by flight crew no further action required opblm martin armenta
17,20nov mco df t door 1 right forward galley waste container bin missing ,0.3974358974358979, deferred per mel 2522gj
18,crew report electrical odor in aft galley after engine shutdown somewhat disipatedaftr a few minutes samc text wo 15080216,0.25722170138424133, inspected aft galley area ovens c offeemakers hot plates and light fixtures no further electrical odor noted and no defects noted in aaft galley components opbl m christiansen w o 15080216 opblm christensen roger
19,17aug ord cf t ramp reports sharp metal aft cargo doorway area by 63371,0.21726204731337073, made iterim repair per ecra skid plate in aft pit to be replaced by next a check per ecra 5322 01050 17aug opb inf please update with parts needed if unable to clr ref ecra 5322 01050 tomc sc
20,22aug ord acp airbus cabin check accomplish airbus cabin check per job card 4 cabin to access the job card go to the tech op portal sua osv briefcase airbus on2200 in service cabin check 4 cabin ,0.2453266907313294, acomplished check ok 
21,27jun den df t fo tray table inop,0.1790287185098585, complied with mel tray t able must be stowed 
22,aft f a evac switchguard is missing,0.24019223070763096, rplcd aft fa evac panel checks good
23,fwd emergency equipmentovrhd bin 1ef latchbroken,0.1961161351381843, replaced broken latch and cover for overhead bin door at seat 1ef ops check good 
24,18aug iah df t aft galley sink clogged,0.2148344622118302, placed aft galley drain o n df per mel 3810m covered drain and installed sticker 
25,23jun ewr acp galley filter ememnt replace replace the galley filter element per amm 25 30 00 920 001 a and 25 35 98 160 001 a parts pn 1f16797 16 pcn 023 0115 forward galley filter pn 1f16797 17 pcn 023 1484 forward galley filter pn 1f16797 18 pcn 023 1485 aft galley filter,0.20491147610942811, replaced filters per amm2 5 30 00
