,fleet,problem_log,corrective_action,delay_code,station_delay_minutes,d&c_category,ata4_code,ata4_desc
1432,A319-131,crew reported rubber smell in cabin f rom rows 1 to rows 21 newman tomc samc text wo 15092916 crew also reported that smell had quick ly disapated newman tomc , no defects noted in galley equip cabin equip aevc equipment and air conditioning equipment per tsm 05 51 00 fo llowed tsm 21 00 00 810 801 performed engine and apu runs and no bu rnt rubber smell present newman tomc opblm newman jay,TA,80,Delay>15mins,2520,passenger compartment
1927,A319-131,loud chatter and vibration heard and felt in ac , reset valve in water line behind coffee maker aft galley noise stopped ,TA,29,Delay>15mins,2530,galleys
2217,A319-131,29dec mfe df q aft aft lavatory trash door flapper spring is broken newman tomc samc text wo 15122914 , deferred per mel taped over flap per door and installed df cf placard on flapper and locked out l av door newman tomc ,TA,19,Delay>15mins,2500,equipment furnishings general
2339,A319-131,top door stiker fault prog text item rolled forward , cycled pax door mon cb tr ouble cleared current op check ok ,TA,75,Delay>15mins,2520,passenger compartment
2515,A319-131,22jun iah acp humming high pitch noise accomp inspection or recheck required by cf0041 when complete sign off this dl item only do not sign off cf0041 humming high pitch noisewith low volume comes and goes seat 21f accomplished mt 53 005 an d 53 004 taped panel 192dt, reinspect tape found tobe secure okay to continue ,TM,15,Delay 6-15mins,2520,passenger compartment
2575,A319-131,loud squeal coming from from overhead cockpit in decent stopped passing 22000ft, pressurized per mm05 53 0 0 780 003 a01 no leaks found ordmm davis,TA,9,Delay 6-15mins,2510,flight compartment equipment
2576,A319-131,loud squeal coming from from overhead cockpit in decent stopped passing 22000ft, pressurized per mm05 53 0 0 780 003 a01 no leaks found ordmm davis,TA,0,Cancellation,2510,flight compartment equipment
2828,A319-131,aft galley cabinet door under coffee makerwill not retract intohousing , ops check good ,TA,29,Delay>15mins,2530,galleys
3252,A320-232,returned to gate forstrange noise from aftcabin prog text item rolled forward , installation inspected functionally checked and found satisfactory request further observation and info next flight ref gmm 06 35 10 pg 31 ,TA,63,Delay>15mins,2520,passenger compartment
3253,A320-232,remove and reinstall jackscrew rail and si de rails removed for drainmast installation by 087562, accomplished reinstallati on of jackscrew rail and side rails ref amm 25 51 99 000 001 a ,TA,19,Delay>15mins,2520,passenger compartment
3379,A320-232,01dec pit df q crew report emergency escape ropecover latch brokenleft overwing exit samc text wo 1510107 , defer left slide ropes 2 due to inoperable door that is deferred on df 491 berg tomc ,TL,8,Delay 6-15mins,2560,emergency equipment
3441,A320-232,12dec iah df t l aft cabin displayed on upper ecam screen door crew comments ecam door l aft cabin on decent , placed on df ref 5270au 12dec iah inf ops checked slide armed l ight and operates normal,TF,23,Delay>15mins,2520,passenger compartment
3557,A320-232,18jun sjc df q crew report aft galley cb r42 popped samc text wo 15061823, fbo mechanic collared circuit brea ker open ,TA,6,Delay 6-15mins,2530,galleys
3558,A320-232,aft fa lighting and evac panel inop, reset system op check ok,TL,19,Delay>15mins,2560,emergency equipment
3824,A320-232,crew report aft galley trash binlid bent making trashbin unusable cabin item ata 2530, found trash can lid straightened by flight crew no further action required opblm martin armenta,TA,27,Delay>15mins,2530,galleys
4670,A320-232,20nov mco df t door 1 right forward galley waste container bin missing , deferred per mel 2522gj,TN,56,Delay>15mins,2530,galleys
4779,A320-232,crew report electrical odor in aft galley after engine shutdown somewhat disipatedaftr a few minutes samc text wo 15080216, inspected aft galley area ovens c offeemakers hot plates and light fixtures no further electrical odor noted and no defects noted in aaft galley components opbl m christiansen w o 15080216 opblm christensen roger,TA,12,Delay 6-15mins,2530,galleys
4782,A320-232,17aug ord cf t ramp reports sharp metal aft cargo doorway area by 63371, made iterim repair per ecra skid plate in aft pit to be replaced by next a check per ecra 5322 01050 17aug opb inf please update with parts needed if unable to clr ref ecra 5322 01050 tomc sc,TA,61,Delay>15mins,2550,additional compartments
5072,A320-232,22aug ord acp airbus cabin check accomplish airbus cabin check per job card 4 cabin to access the job card go to the tech op portal sua osv briefcase airbus on2200 in service cabin check 4 cabin , acomplished check ok ,TE,1,Delay 0-5mins,2520,passenger compartment
5284,A320-232,27jun den df t fo tray table inop, complied with mel tray t able must be stowed ,TL,12,Delay 6-15mins,2500,equipment furnishings general
5433,A320-232,aft f a evac switchguard is missing, rplcd aft fa evac panel checks good,TA,38,Delay>15mins,2560,emergency equipment
5986,A320-232,fwd emergency equipmentovrhd bin 1ef latchbroken, replaced broken latch and cover for overhead bin door at seat 1ef ops check good ,TA,44,Delay>15mins,2560,emergency equipment
6057,A320-232,18aug iah df t aft galley sink clogged, placed aft galley drain o n df per mel 3810m covered drain and installed sticker ,TF,17,Delay>15mins,2520,passenger compartment
6160,A320-232,23jun ewr acp galley filter ememnt replace replace the galley filter element per amm 25 30 00 920 001 a and 25 35 98 160 001 a parts pn 1f16797 16 pcn 023 0115 forward galley filter pn 1f16797 17 pcn 023 1484 forward galley filter pn 1f16797 18 pcn 023 1485 aft galley filter, replaced filters per amm2 5 30 00,TA,79,Delay>15mins,2530,galleys
6257,A320-232,crew report forward aft lavatory door willnot close due to hengedamage samc text w0 15121306 tomc bilski , adjusted latch on lav ops check goo d opblm annichiarico opblm stone dan,TA,17,Delay>15mins,2500,equipment furnishings general
6265,A320-232,evac horn going off, reset cids 1 and 2 ops check normal,TM,67,Delay>15mins,2560,emergency equipment
6266,A320-232,evac horn going off, reset cids 1 and 2 ops check normal,TL,22,Delay>15mins,2560,emergency equipment
